,snr,lpix,mpix,boxc_width,time,dm,iblk,rawsn,total_sample,obstime_sec,mjd,dm_pccm3,ra_deg,dec_deg,total_sample_middle,cluster_id,spatial_id,mSNR,mSlope,mSlopeSmooth,lpix_rms,mpix_rms,num_samps,centl,centm,num_spatial,PSR_name,PSR_sep,RACS_name,RACS_sep,NEW_name,NEW_sep,ALIAS_name,ALIAS_sep
217,14.7,10,25,1,110,77,16,460,4206,58.1437,60424.608546791,296.241,193.36882,-64.38684,4166.789024353027,223,-1,1.0,0.0,0.0,0.891,0.492,64,10.48,25.39,1,,,,,,,J1243-6423,12.041440953877235
218,18.3,11,26,1,138,77,16,572,4234,58.5308,60424.608551271,296.241,193.35867,-64.38268,4194.789024353027,224,-1,1.0,0.0,0.0,0.851,0.495,90,10.49,25.59,1,,,,,,,J1243-6423,28.118713843655325
219,14.9,11,26,1,82,77,16,468,4178,57.7567,60424.608542311,296.241,193.35867,-64.38268,4138.789024353027,225,-1,1.0,0.0,0.0,0.88,0.483,51,10.51,25.35,1,,,,,,,J1243-6423,28.118713843655325
220,11.6,11,26,0,194,77,16,363,4290,59.305,60424.608560231,296.241,193.35867,-64.38268,4250.789024353027,226,-1,1.0,0.0,0.0,0.86,0.507,35,10.71,25.49,1,,,,,,,J1243-6423,28.118713843655325
221,12.0,10,25,1,54,77,16,376,4150,57.3696,60424.608537831,296.241,193.36882,-64.38684,4110.789024353027,227,-1,1.0,0.0,0.0,0.797,0.226,38,10.53,25.05,1,,,,,,,J1243-6423,12.041440953877235
222,10.6,10,25,0,166,77,16,332,4262,58.9179,60424.608555751,296.241,193.36882,-64.38684,4222.789024353027,228,-1,1.0,0.0,0.0,0.634,0.418,28,10.43,25.21,1,,,,,,,J1243-6423,12.041440953877235
223,7.4,10,26,0,222,77,16,232,4318,59.692,60424.608564711,296.241,193.36864,-64.38257,4278.789024353027,229,-1,1.0,0.0,0.0,0.548,0.0,5,10.4,26.0,1,,,,,,,J1243-6423,26.95019942276493
224,6.3,109,88,3,243,93,16,196,4339,59.9823,60424.608568071,357.798,192.38235,-64.12343,4291.6412353515625,230,-1,1.0,0.0,0.0,0.0,0.0,3,109.0,88.0,1,,,,,,,,
231,13.7,11,26,1,107,77,17,428,4459,61.6412,60424.608587271,296.241,193.35867,-64.38268,4419.789024353027,237,-1,1.0,0.0,0.0,0.796,0.405,69,10.55,25.8,1,,,,,,,J1243-6423,28.118713843655325
232,14.4,10,25,1,79,77,17,452,4431,61.2541,60424.608582791,296.241,193.36882,-64.38684,4391.789024353027,238,-1,1.0,0.0,0.0,0.846,0.502,69,10.41,25.46,1,,,,,,,J1243-6423,12.041440953877235
233,14.0,11,26,0,22,77,17,438,4374,60.4662,60424.608573671,296.241,193.35867,-64.38268,4334.789024353027,239,-1,1.0,0.0,0.0,0.779,0.235,52,10.52,25.94,1,,,,,,,J1243-6423,28.118713843655325
234,14.8,11,26,0,247,77,17,462,4599,63.5766,60424.608609671,296.241,193.35867,-64.38268,4559.789024353027,240,-1,1.0,0.0,0.0,0.895,0.496,68,10.72,25.41,1,,,,,,,J1243-6423,28.118713843655325
